provider_id,qr_rating,facility_type,provider_status,license_status,license_type,license_certificate_type,socrata_operating_status,socrata_facilitytypegeneric,socrata_facilitytypeauthoritydesc,licensed_capacity,license_prior_capacity,total_available_slots,ages_served,age_min_months,age_max_months,hours_mon,hours_tue,hours_wed,hours_thu,hours_fri,hours_sat,hours_sun,hours_days_open,hours_weekly_hours,subsidy_participation,food_program_participation,funded_head_start,funded_early_head_start,funded_eceap,formerly_licensed,excluded_from_public_search,tribal_ea_shown,display_on_map,opt_in_map,license_update_approved,initial_license_year,socrata_licensecapacity,socrata_startingage,socrata_endingage,num_complaints,num_inspections,num_licenses,num_contacts,agegroup_infant,agegroup_preschool,agegroup_school_age,agegroup_toddler,complaints_serious_injury_field,langinstr_american_sign_language,langinstr_arabic,langinstr_chinese_mandarin,langinstr_english,langinstr_french,langinstr_somali,langinstr_spanish,langinstr_tagalog,language_american_sign_language,language_amharic,language_arabic,language_chinese_cantonese,language_chinese_mandarin,language_english,language_farsi,language_filipino,language_french,language_hindi,language_japanese,language_korean,language_oromo,language_other,language_pashto,language_persian,language_polish,language_portugese,language_punjabi,language_russian,language_somali,language_spanish,language_swahili,language_tagalog,language_telugu,language_tigrinya,language_ukrainian,language_urdu,language_vietnamese,slotavail_infant,slotavail_preschool,slotavail_school_age,slotavail_slots_available,slotavail_toddler,spec_accreditation,spec_child_outcomes,spec_curriculum_and_staff_supports,spec_family_engagement_and_partnerships,spec_interactions_and_environment,spec_professionalism,complaints_document_view,complaints_self_reported_no,complaints_self_reported_yes,complaints_valid_issues_1,complaints_valid_issues_2,complaints_valid_issues_3,complaints_valid_issues_4,complaints_valid_issues_5,complaints_valid_issues_6,complaints_valid_issues_other,contacts_role_primary_contact,contacts_role_primary_contractor,contacts_role_primary_licensor,contacts_role_secondary_contact,contacts_role_secondary_contractor,geo_region,inspections_checklist_type_childcareinspectionchecklist_pdf,inspections_checklist_type_childcaremonitoringchecklist_pdf,inspections_checklist_type_licensing_ccc_inspection_report,inspections_checklist_type_licensing_ccc_inspection_report_pdf,inspections_document_view,inspections_inspection_type_physical,inspections_inspection_type_virtual,langinstr_other,licensehist_facility_type_child_care_center,licensehist_facility_type_family_child_care_home,licensehist_facility_type_other,licensehist_facility_type_school_age_program,licensehist_license_status_closed,licensehist_license_status_open,licensehist_license_status_open_certified,licensehist_license_status_open_payment_only,licensehist_license_status_other,licensehist_license_status_pending,licensehist_license_status_reason_cannot_comply_with_requirements,licensehist_license_status_reason_capacity,licensehist_license_status_reason_change_license_to_child_care_facility,licensehist_license_status_reason_closed,licensehist_license_status_reason_dcyf_imposed,licensehist_license_status_reason_dlr_cps_investigation_s_complete,licensehist_license_status_reason_expired,licensehist_license_status_reason_failed_to_meet_annual_compliance_requirements,licensehist_license_status_reason_family_did_not_respond_to_renewal,licensehist_license_status_reason_license_issued_in_error,licensehist_license_status_reason_licensee_request,licensehist_license_status_reason_licensee_request_conversion_only,licensehist_license_status_reason_mlr_infraction_s,licensehist_license_status_reason_moved,licensehist_license_status_reason_moved_and_did_not_reapply,licensehist_license_status_reason_moved_conversion_only,licensehist_license_status_reason_moved_new_home_does_not_meet_mlr_s,licensehist_license_status_reason_name_change_modification_only,licensehist_license_status_reason_no_referral_licensee_request,licensehist_license_status_reason_no_referral_lifted_licensee_request,licensehist_license_status_reason_open_dlr_cps_investigation_s,licensehist_license_status_reason_other,licensehist_license_status_reason_provider_meets_mlr_s,licensehist_license_status_reason_revoked,licensehist_license_status_reason_suspended,licensehist_license_status_reason_unknown,licensehist_license_status_reason_withdrawn,licensehist_license_type_initial_1st,licensehist_license_type_initial_2nd,licensehist_license_type_initial_3rd,licensehist_license_type_initial_4th,licensehist_license_type_probationary,licensehist_license_type_unknown,licensehist_regulation_authority_dcyf,licensehist_regulation_authority_government,licensehist_regulation_authority_military,licensehist_regulation_authority_ospi,licensehist_regulation_authority_tribal
8065,3,Family Child Care Home,Open,Open,Full,,,,,12,6,,birth - 13 years 0 months,0,156,,,,,,,,0,,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,4,3,2,Infant,Preschool,School-age,Toddler,,,,,English,,,,,,,,,,,Farsi,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,School Age,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Initial (1st),,,,,,DCYF,,,,
4809,3,Family Child Care Home,Open,Open,Full,,,,,12,12,0,birth - 13 years 0 months,0,156,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,other,5:00 AM - 11:59 PM,12:00 AM - 11:59 PM,,,5,114.92,True,True,No,No,No,False,False,False,False,False,True,2021,,,,0,5,1,2,Infant,Preschool,School-age,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,Infant,Preschool,School Age,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
744,3,Family Child Care Home,Open,Open,Full,,,,,12,10,4,birth - 13 years 0 months,0,156,6:30 AM - 5:00 PM,6:30 AM - 5:00 PM,6:30 AM - 5:00 PM,6:30 AM - 5:00 PM,6:30 AM - 5:00 PM,,,5,52.5,True,False,No,No,No,False,False,False,False,False,True,2021,,,,0,6,1,1,Infant,Preschool,School-age,Toddler,,,,,English,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
10043,3,Family Child Care Home,Open,Open,Full,,,,,12,6,3,birth - 13 years 0 months,0,156,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,5:30 AM - 5:30 PM,,,5,60.0,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,4,2,2,Infant,Preschool,School-age,Toddler,,,,,English,,,,,,,,,,English,,,,,,,,other,,,,,,,,,,,,,,,,,Preschool,School Age,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,other,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,Initial (1st),,,,,,DCYF,,,,
5825,3,Child Care Center,Open,Open,Full,LICENSED,Active,CHILD CARE CENTER,DEL Licensed,27,27,1,other,31,71,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,5,45.0,False,False,No,No,No,False,False,False,True,False,True,2022,27,other,5 years 11 months,0,6,2,2,,Preschool,,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,,Preschool,,Slots Available,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,region_5,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,Child Care Center,,,,Closed,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Initial (1st),,,,,,DCYF,,,,
9812,5,Family Child Care Home,Open,Open,Full,,,,,12,11,2,birth - 13 years 0 months,0,156,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,6:00 AM - 6:00 PM,,,5,60.0,True,True,No,No,No,False,False,False,False,False,True,2021,,,,0,6,1,2,Infant,Preschool,School-age,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,,Preschool,,Slots Available,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
9892,4,Child Care Center,Open,Open,Full,LICENSED,Active,CHILD CARE CENTER,DEL Licensed,40,47,7,12 months - 13 years 0 months,12,156,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,7:00 AM - 4:00 PM,,,5,45.0,True,True,No,No,No,False,False,False,True,False,True,2021,40,12 months,13 years 0 months,0,6,1,2,,Preschool,School-age,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,,Preschool,,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,region_6,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,Child Care Center,,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
3111,3,Family Child Care Home,Open,Open,Full,,,,,6,6,,birth - 13 years 0 months,0,156,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,6:00 AM - 11:00 PM,other,other,7,119.0,True,False,No,No,No,False,False,False,True,True,True,2008,,,,0,5,6,2,Infant,Preschool,School-age,Toddler,,,,,English,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,,School Age,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,Closed,,,Expired,,,,,,,Moved,,Moved - Conversion Only,,,,,,,,,,Unknown,,Initial (1st),Initial (2nd),,,,,DCYF,,,,
8458,3,Family Child Care Home,Open,Open,Full,,,,,12,9,7,birth - 13 years 0 months,0,156,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,5:00 AM - 9:00 PM,other,other,,,5,56.0,False,False,No,No,No,False,False,False,True,True,True,2021,,,,0,3,1,2,Infant,Preschool,School-age,Toddler,,,,,English,,Somali,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,School Age,Slots Available,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,other,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
6012,3,Family Child Care Home,Open,Open,Full,,,,,12,12,,birth - 13 years 0 months,0,156,other,other,other,other,other,,,5,83.0,True,True,No,No,No,False,False,False,False,False,True,2022,,,,0,6,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infant,Preschool,,,Toddler,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
7786,3,Family Child Care Home,Open,Open,Full,,,,,9,9,,birth - 13 years 0 months,0,156,other,other,other,other,other,,,5,27.5,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,5,2,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Withdrawn,Initial (1st),,,,,,DCYF,,,,
1737,3,Family Child Care Home,Open,Open,Initial,,,,,8,8,4,birth - 13 years 0 months,0,156,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,12:00 AM - 11:59 PM,,,5,119.92,True,True,No,No,No,False,False,False,True,True,True,2021,,,,1,4,3,2,Infant,Preschool,School-age,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,Infant,Preschool,School Age,Slots Available,Toddler,,,,,,,View,No,,1,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,Licensee request,,,Moved,,,,,,,,,,,,,,Initial (1st),,,,,,DCYF,,,,
5399,3,Family Child Care Home,Open,Open,Full,,,,,11,12,0,birth - 13 years 0 months,0,156,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,4:30 AM - 6:00 PM,,,5,67.5,False,False,No,No,No,False,False,False,False,False,True,2022,,,,1,6,1,2,Infant,Preschool,School-age,Toddler,,,,,English,,,Spanish,,,,,,,English,,,,,,,,,,,,,,,,Spanish,,,,,,,,Infant,Preschool,School Age,,Toddler,,,,,,,View,No,,1,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
1031,3,Family Child Care Home,Open,Open,Full,,,,,9,9,,birth - 13 years 0 months,0,156,,,,,,,,0,,False,False,No,No,No,False,False,False,False,False,True,2021,,,,0,5,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
7064,3,Family Child Care Home,Open,Open,Full,,,,,12,12,,other,2,120,,,,,,,,0,,False,False,No,No,No,False,False,False,True,True,True,2021,,,,0,7,2,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,,View,Physical,,,,Family Child Care Home,,,Closed,Open,,,,,,,,,,,,,,,,,,Moved,,,,,,,,,,,,,,,,,,,,DCYF,,,,
9628,3,Family Child Care Home,Open,Open,Full,,,,,12,8,,birth - 13 years 0 months,0,156,,,,,,,,0,,False,False,No,No,No,False,False,False,False,False,True,2022,,,,0,5,1,2,Infant,Preschool,School-age,Toddler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primary Contact,,Primary Licensor,,,,ChildCareInspectionChecklist.pdf,,Licensing CCC Inspection Report,Licensing CCC Inspection Report.pdf,View,Physical,,,,Family Child Care Home,,,,Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCYF,,,,
