provider_id,qr_rating,has_license_number,dhhs_matched,capacity,full_time_staff,part_time_staff,num_accreditations,dhhs_capacity,dhhs_age_from_months,dhhs_age_to_months,dhhs_days_open_count,dhhs_hours_from_minutes,dhhs_hours_to_minutes,dhhs_hours_open_minutes,dhhs_issue_year,accred_national_association_for_the_education_of_young_children,accred_national_early_childhood_program_accreditation,accred_national_lutheran_school_accreditation,age_infants,age_preschool,age_school_age,age_toddlers,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday,info_accepts_child_care_subsidy,info_serves_children_with_special_needs,lictype_child_care_center,lictype_family_child_care_home_i,lictype_family_child_care_home_ii,lictype_preschool,lictype_provisional_child_care_center,lictype_provisional_family_child_care_home_i,lictype_provisional_family_child_care_home_ii,ptype_child_care_center,ptype_family_child_care_home,ptype_head_start,ptype_preschool,ptype_public_school,accred_other,geo_county_0,geo_county_1,geo_county_10,geo_county_11,geo_county_12,geo_county_13,geo_county_14,geo_county_15,geo_county_16,geo_county_17,geo_county_18,geo_county_19,geo_county_2,geo_county_20,geo_county_21,geo_county_22,geo_county_23,geo_county_24,geo_county_25,geo_county_26,geo_county_27,geo_county_28,geo_county_29,geo_county_3,geo_county_30,geo_county_31,geo_county_32,geo_county_33,geo_county_34,geo_county_35,geo_county_36,geo_county_37,geo_county_38,geo_county_39,geo_county_4,geo_county_40,geo_county_41,geo_county_42,geo_county_43,geo_county_5,geo_county_6,geo_county_7,geo_county_8,geo_county_9
2077,2,True,True,50.0,7.0,6.0,0,50,1.38,156.0,5,390.0,1080.0,690.0,2014,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3227,2,True,True,61.0,6.0,3.0,0,61,1.38,144.0,5,360.0,1080.0,720.0,2019,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3120,1,True,True,39.0,4.0,1.0,0,39,1.38,156.0,7,0.0,1440.0,1440.0,2022,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1689,1,True,True,100.0,9.0,,0,100,1.38,156.0,7,0.0,1440.0,1440.0,2022,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1998,1,True,True,12.0,1.0,1.0,0,12,1.38,144.0,7,420.0,1140.0,720.0,2025,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
233,5,True,True,105.0,4.0,8.0,0,105,1.38,156.0,5,450.0,1050.0,600.0,2020,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2678,2,True,True,46.0,10.0,3.0,0,46,1.38,156.0,5,420.0,1050.0,630.0,2025,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2298,1,True,True,12.0,2.0,2.0,0,12,1.38,144.0,5,420.0,1050.0,630.0,2025,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2226,2,True,True,10.0,,,0,10,1.38,156.0,7,0.0,1440.0,1440.0,2018,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1584,2,True,True,10.0,1.0,1.0,0,10,1.38,144.0,5,450.0,1035.0,585.0,2017,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2667,1,True,True,70.0,3.0,4.0,0,70,1.38,156.0,5,390.0,1080.0,690.0,2018,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3011,1,True,True,10.0,1.0,1.0,0,10,1.38,156.0,7,0.0,1440.0,1440.0,2019,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
320,1,True,True,12.0,1.0,,0,12,1.38,156.0,7,0.0,1440.0,1440.0,2018,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2284,1,True,True,75.0,6.0,4.0,0,75,1.38,156.0,5,330.0,1110.0,780.0,2011,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2412,5,True,True,12.0,1.0,1.0,0,12,1.38,156.0,5,450.0,1050.0,600.0,2023,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
328,5,True,True,12.0,2.0,,0,12,1.38,156.0,5,360.0,1080.0,720.0,2008,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1583,5,True,True,40.0,4.0,6.0,0,40,1.38,60.0,5,480.0,960.0,480.0,2004,False,False,False,False,True,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1026,1,True,True,10.0,,,0,10,1.38,156.0,5,360.0,1080.0,720.0,2020,False,False,False,True,False,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
776,5,True,True,45.0,7.0,5.0,0,45,1.38,156.0,5,420.0,1080.0,660.0,2016,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1459,2,True,True,10.0,1.0,,0,10,1.38,156.0,5,330.0,1080.0,750.0,2007,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
752,1,True,True,12.0,,,0,12,1.38,144.0,5,420.0,1050.0,630.0,2025,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049,1,True,True,10.0,,,0,10,1.38,156.0,7,0.0,1440.0,1440.0,2022,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2949,1,True,True,10.0,1.0,,0,10,1.38,144.0,5,360.0,1050.0,690.0,2018,False,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3066,1,True,True,12.0,1.0,,0,12,1.38,144.0,5,360.0,1080.0,720.0,2024,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3206,2,True,True,10.0,,,0,10,1.38,156.0,6,390.0,1050.0,660.0,1997,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3189,2,True,True,10.0,,,0,10,1.38,156.0,7,0.0,1440.0,1440.0,2006,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1983,1,True,True,10.0,1.0,,0,10,1.38,96.0,5,435.0,1035.0,600.0,2025,False,False,False,True,False,False,True,True,True,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2691,1,True,True,10.0,2.0,,0,10,1.38,156.0,7,0.0,1440.0,1440.0,2020,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
338,1,True,True,10.0,1.0,,0,10,1.38,144.0,7,420.0,1140.0,720.0,2019,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1490,2,True,True,12.0,1.0,,0,12,1.38,156.0,5,405.0,990.0,585.0,2010,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2273,2,True,True,100.0,10.0,15.0,0,100,1.38,156.0,5,360.0,1080.0,720.0,2017,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2880,2,True,True,10.0,1.0,,0,10,1.38,156.0,5,420.0,1020.0,600.0,2013,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
559,3,False,False,,2.0,,0,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1117,1,True,True,10.0,1.0,1.0,0,10,1.38,156.0,6,300.0,1260.0,960.0,2024,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2354,1,True,True,10.0,1.0,,0,10,1.38,156.0,5,420.0,1080.0,660.0,2013,False,False,False,True,True,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
937,3,False,False,,3.0,1.0,0,,,,,,,,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1512,5,True,True,99.0,10.0,2.0,0,99,1.38,156.0,5,330.0,1050.0,720.0,2002,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3195,2,True,True,10.0,,,0,10,1.38,156.0,5,330.0,1110.0,780.0,2017,False,False,False,False,True,False,True,True,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
