provider_id,qr_rating,program_type,age_6wk_17mo,age_18_23mo,age_0_23mo,age_2yr,age_3yr,age_4yr,age_5yr_preschool,age_5_15yr,licensed_capacity,enrollment_availability,accreditation_american_montessori_society_ams,accreditation_association_montessori_international_usa_ami_usa,accreditation_association_of_independent_maryland_schools_aims,accreditation_cognia_early_learning_accreditation,accreditation_maryland_accreditation,accreditation_middle_states_association_of_colleges_and_schools_commission_on_elementary_and_secondary_schools_msa_cess,accreditation_national_association_for_family_child_care_nafcc,accreditation_national_association_for_the_education_of_young_children_naeyc,accreditation_national_early_childhood_program_accreditation_necpa,achievement_accredited_program,achievement_asthma_and_allergy_friendly,achievement_cultural_and_linguistic_competency,achievement_eco_friendly_program,achievement_family_engagement,achievement_health_and_wellness,achievement_judy_center,achievement_military_child_care_in_your_neighborhood,achievement_quality_business_practices,accreditation_other
2585,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
3942,3,School-Age Only,False,False,False,False,False,False,False,True,30,,,,,,,,,,,,,,,,Health and Wellness,,,,
5333,1,Child Care Center,True,True,False,True,True,True,True,True,59,,,,,,,,,,,,,,,,,,,,
4510,3,Child Care Center,True,True,False,True,True,True,True,True,61,,,,,,,,,,,,,,,,,,,,
3417,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
4723,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
2977,1,Family Child Care,False,False,True,True,True,True,True,True,4,,,,,,,,,,,,,,,,,,,,
5871,1,Family Child Care,False,False,True,True,True,True,True,True,8,,,,,,,,,,,,,,,,,,,,
6178,5,Public Prekindergarten,,,,,,,,,,,,,,,Maryland Accreditation,,,,,Accredited Program,,,,,,,,,
4845,3,School-Age Only,False,False,False,False,False,False,False,True,45,,,,,,,,,,,,,,,,Health and Wellness,,,,
